"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"1","5562","#PRPV9G99","B0ssh0gg","169","191","22","#9J8RLVRC","Team C.R.E.A.M™","4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk"
"2","5525","#QVRYVJP0","Ryuji-日本大学","153","105","12","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"3","5511","#998P0202","mD","152","141","13","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"4","5505","#PGP2QPLG","Lj®","184","162","11","#20C00JL0","Indo Celestial","Vkb2fIWKckINbfReHrir5TLyIP6-54M20sz_ZnrcPSA"
"5","5500","#Y8PJ0GVU","Eran Levi","167","127","17","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"6","5490","#YLQ89LJ","Song dunn","171","183","14","#2JVLPQLP","TAKEN","2oLwqocxWdc-IrCdnJWb8hjDKeClJtJ1TjhxIdFIxnI"
"7","5489","#CJ298VV","kim kardashian","153","126","6","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"8","5489","#2CGPQRUL","alooo","157","124","14","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"9","5483","#22JQPLCP","TRENBOLONE","193","106","18","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"10","5476","#929UJGU0","Athena","203","118","37","#Q08G02C0","Freedom Tower","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"11","5466","#Y2CUG0P2","Sunbis","144","152","21","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"12","5462","#CRRQJUJL","HUNTER","182","117","14","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
