"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","townHallLevel","barbarianKingLevel","archerQueenLevel","grandWardenLevel"
"83571","5291","#20Y9J0ULJ","天堂.地狱","121","218","0","#U9909L9U","天堂墓","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","8","10","NULL","NULL"
"98554","5235","#8JLQ9G2VC","!Santa_Muerte!","125","210","0","#Y00PQRC9","LOS CARNALITOS","vWRtxxf2L--y0m3jHFUJSVjfDvN3sJW6og-vHucrEJI","8","10","NULL","NULL"
"106902","5208","#890UU0RCL","美丽唯爱.灵 .","136","140","0","#8RYVQ9RG","LOL. S5. 万岁","TCVeO_uMyQyX3OC7JSAYWRBkpkRe2j1bUgsiHms8y2c","8","10","NULL","NULL"
"108732","5202","#90C8QRR0C","ALEX","125","92","0","#82CYUUYR","noobs legendary","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","8","10","NULL","NULL"
"147591","5092","#P8QUC0RLU","Vegeta✌✌","115","215","0","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","8","7","NULL","NULL"
"150277","5085","#P8G9LC0YL","REI MATHEUS⚓2","101","256","1","#QUCPVYC9","WeeD's in Push⬆","IqJXD9RBYNbpesFihDHAdXHqJGuUYIlAddqNs-bob2o","8","10","NULL","NULL"
"152750","5079","#89GV8GU2P","nadhif","103","147","1","#P9QCGPVJ","Melawi Clasher","7Siliur18v1CGpXz2bnd3T6Dcenpw1PjWqIkzsVI3eo","8","10","NULL","NULL"
"165485","5049","#99YJ9JRL2","沉迷冲杯，日渐消瘦","110","277","0","#8YVJYLCV","吸血鬼骑士","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","8","10","NULL","NULL"
"166041","5047","#P9GGP9LV9","Mau-Mau","125","322","0","#LPPQYCL9","SENA WAR","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","8","10","NULL","NULL"
"168260","5042","#8VV0PPQ08","3R","147","91","0","#PCVVRQPV","Elite Eight™","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","8","10","NULL","NULL"
"168968","5040","#8GRRPURP2","ARSENE WENGER","128","434","0","#980LCCJU","randau jungkal","2VCVeqIRcmylxlzzHtzAFslfxXYKJ4i1cIY2gYvHdek","8","10","NULL","NULL"
"180309","5015","#QCQ9U9CU","ThatGirl","125","136","0","#RVVQUCCU","Savage Soon 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","8","10","NULL","NULL"
"180505","5014","#Y09V2RVGU","Vinsmoke","80","507","2","#8YV9YCQG","M.i Banawe team","fbTIQhMzWe1jtfHrxSQ-h7EfnWC1k22f1pLgizdQzao","8","10","NULL","NULL"
"181569","5012","#2Y8880LRU","--Gio2--","101","340","2","#UJ0UJ88","Team_Sicil_Sky","fG8lVXQps8kelphi71OJGZcK53x_O9ibpAcw0XylqS4","8","10","NULL","NULL"
"184238","5007","#2RQPGV89R","R H Rabbi2","102","209","0","#PCVVRQPV","Elite Eight™","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","8","10","NULL","NULL"
"188017","4999","#9GYJLYYJ9","VaHaP-ANtİFENeR","122","159","1","#PCVVRQPV","Elite Eight™","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","8","10","NULL","NULL"
"191633","4989","#990J2980C","WINNER GALAXY","131","121","0","#Q00P2UUG","WINNER Z GALAXY","SWcSuBwZEA2kBlCyGaOkWwoPJrLxl8usYPDDPSH2NWU","8","10","NULL","NULL"
"193106","4985","#J88R989","george alkblan","110","140","1","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","8","10","NULL","NULL"
"198642","4968","#9P9V9VQPV","SAMBHAJI RAJE","111","216","1","#G00VRR00","पिंपळगाव खांब@","76isSC140R-invOfNfomywrX38S-z_pvd6L2udpG61M","8","10","NULL","NULL"
"198995","4967","#PY0L09YQR","Destroyer","110","248","3","#8Q8JJV20","Baluchori King","1Cgd3Zm-x3ZFpkEQk-F0GEgiie5ZDw_8QdC5MFsOYc4","8","10","NULL","NULL"
"200109","4964","#PQY92L2CC","许家村","128","376","0","#RRVRRQV9","酆都","0mIIvT1qMEwyYZIFEWCcGSfI0L3yixIp9ZlMPnZpHXg","8","10","NULL","NULL"
"202981","4956","#22Q0YV2RG","Dｅａｔｈ-Gｕｎ","101","582","1","#C990CQ9J","ayakuramei","UoZhv06t3VtiuaxKS87rMCeGnX2l9dADFc-m83IGo9w","8","10","NULL","NULL"
"214642","4924","#P8LG0QQPR","BiShAL2...✌","99","140","0","#8Q8JJV20","Baluchori King","1Cgd3Zm-x3ZFpkEQk-F0GEgiie5ZDw_8QdC5MFsOYc4","8","8","NULL","NULL"
