"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"13895","5879","#8JJ9UPC2C","Iniesta.Home","143","520","0","#Y2PRC9YC","问鼎","H5yvAM08ZOilFKkIQJ8hg4F18eUfTkMw-jUHhhF2x1Y","5881","1944","9","5","360","1130","1407","2018-05","13895","5879","2018-05","13895","5879","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","9","10","10","1","1","1","10","1","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","NULL","11","42","9","4507","1","973780856","1045445500","5881","5","22711","2326","13568","3911","331","152667","9194","6909632","22","2590","257","1130","197059911","88","3484","1","5","1","390","1944","1","1","15195"
"24769","5725","#9YV82PGUV","Abhishek","172","286","1","#PPRY0Y00","Savage 8.9","785cxXU5e-ulxWoqSLeUEynsbsNm0dFTSlTNGinvFYs","5823","4626","9","8","2186","1053","3494","2018-05","24769","5725","2018-05","24769","5725","2017-12","82687","4327","2018-05","235514","4296","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","16","14","10","16","1","14","9","14","8","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","22","11","153","9","2011","1","1462892608","1449413489","5823","5","26396","4542","22665","6908","598","277564","16135","6259541","22","2684","339","1053","239058079","116","8550","1","8","1","3223","4626","2","1","1300"
"30144","5668","#G9JJQLY0","༺࿅༽࿈ོFES࿈ོ༼࿅༻","138","566","0","#JQG889J","潜入敌后","pgnKjVfDk9Zo45937jeAVeK274Jt89M3sjKejr5fq24","5697","3091","9","7","728","838","668","2018-05","30144","5668","2018-05","30144","5668","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","12","7","12","5","1","12","1","5","12","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","15","11","153","9","3020","1","808105869","892598348","5697","5","30559","3061","13627","4062","1249","103918","10798","5612602","22","3452","508","838","113601107","68","800","1","7","1","844","3091","0","1","8600"
"31211","5659","#8YVRRJQJU","memocan","132","287","0","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5713","2442","9","6","431","528","709","2018-05","31211","5659","2018-05","31211","5659","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","11","10","10","10","10","1","10","1","10","1","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","5","11","123","9","2731","1","1181709529","1172518773","5713","5","16524","2513","13038","3712","434","88917","11565","6849319","22","4029","617","528","101338481","52","1855","1","6","1","498","2442","1","1","9490"
"32654","5646","#20PRVQYU0","Unicorn Robot","139","251","0","#RVVQUCCU","Savage Soon 8.9","785cxXU5e-ulxWoqSLeUEynsbsNm0dFTSlTNGinvFYs","5646","2953","9","6","1244","771","2326","2018-05","32654","5646","2018-05","32654","5646","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","12","1","12","1","12","12","6","6","5","2","1","3","3","2","NULL","1","21","30","NULL","10","11","153","9","5101","1","1198171651","1205248027","5646","5","32161","3560","23360","6489","649","103805","15722","6974708","22","3221","590","771","180731744","153","2634","1","6","1","1590","2953","0","1","4325"
"36073","5618","#U0J0VCRG","DarkAcid ®","134","311","1","#LVU9RJ8J","Gommolfiere","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw","5822","2586","9","6","257","416","7490","2017-07","10112","5778","2018-05","36073","5618","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","10","9","8","3","1","1","1","1","1","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","6","11","153","9","3720","1","1499159938","1451417937","5822","5","23316","2233","29251","7893","588","98437","18256","9482667","22","3289","844","416","135197321","402","2146","1","6","1","243","2586","2","1","2075"
"37619","5605","#8GGY0UP9P","恋上·迷茫的我","126","264","0","#Y2PRC9YC","问鼎","H5yvAM08ZOilFKkIQJ8hg4F18eUfTkMw-jUHhhF2x1Y","5612","2774","9","6","483","425","1035","2018-05","37619","5605","2018-05","37619","5605","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","12","8","8","1","6","1","10","8","6","6","5","2","1","3","3","2","NULL","1","20","30","NULL","NULL","11","153","9","1839","1","838452877","898611779","5612","5","20867","2252","11085","3362","398","65993","9285","4160341","22","1702","154","425","143079815","50","1093","1","6","1","555","2774","2","1","2875"
"38424","5600","#2LLVY8PYU","Praski_95","160","237","0","#PC00CQ99","Cluster Pegasus","3BhL3JPqzF-UGhbY8ddbbBPbcrsPWSZ7jevXoRLzPqw","5600","1281","9","4","77","1254","1750","2018-05","38424","5600","2018-05","38424","5600","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","6","6","5","5","1","1","1","1","1","1","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","NULL","11","153","9","3090","1","1368317567","1398720450","5600","5","32562","3043","18806","4890","548","269547","14297","7631745","22","4057","429","1254","208255975","115","7170","1","4","1","67","1281","0","0","2225"
"38792","5596","#9G2LVL2V0","h·x 缘","122","353","0","#G8LL98G9","落叶归根","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE","5700","1760","9","5","119","775","1370","2018-05","38792","5596","2018-05","38792","5596","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","8","6","4","8","1","1","1","8","1","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","NULL","11","93","9","1896","1","1423260780","1430196703","5700","5","18710","1845","22217","5081","201","53990","10412","5896028","22","1944","194","775","123631176","73","1175","1","5","1","104","1760","1","1","2750"
"41480","5575","#89P8RR9JR","亡 灵","140","367","1","#Y2PRC9YC","问鼎","H5yvAM08ZOilFKkIQJ8hg4F18eUfTkMw-jUHhhF2x1Y","5741","3352","9","8","754","521","2255","2018-01","23684","5578","2018-05","41480","5575","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","11","10","9","8","1","5","1","16","4","6","6","5","2","1","3","3","2","NULL","1","20","20","NULL","7","11","152","9","3948","1","992577744","1009006430","5741","5","22621","2886","18772","5383","706","113004","11391","5123767","22","2612","426","521","135532266","116","1892","1","8","1","804","3352","2","1","1800"
