"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"16296","5636","#8PY0C98GL","朝如青丝暮成雪","215","257","0","#LJC2RPJ0","玄武館","fG8lVXQps8kelphi71OJGZcK53x_O9ibpAcw0XylqS4","5755","4574","9","NULL","8","1375","965","2751","2018-03","15574","5749","2018-06","16296","5636","2017-09","34845","4100","2018-06","83163","4543","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","14","14","15","16","1","16","1","14","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","17","11","153","9","4392","1","1001663815","1036348992","5755","5","20964","3103","18768","5042","1226","216612","12827","7357819","22","4404","447","965","274938179","138","4338","1","8","1","1612","4574","2","1","19850"
"29057","5502","#GY9JRQVV","م.سآمر الشريف","222","136","0","#JRGURRVJ","☆آسآطير تآون٩☆","w4_mJS8U8k6aYWMb63bPPtMyrmMqb0fgTaO5Hi9g1oM","5502","4485","9","NULL","8","850","2720","1075","2018-06","29057","5502","2018-06","29057","5502","2018-01","128007","4326","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","14","14","9","14","NULL","6","5","14","6","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","22","11","153","9","3239","1","1304421302","1312997619","5502","5","36299","6074","21984","8337","5058","819522","12374","5655520","22","3159","556","2720","345640589","129","16291","1","8","1","1026","4485","2","1","1550"
"29121","5501","#2Q8JL9R02","いえきち","170","279","1","#PR89YRRQ","sky☆garden","0qK_lrJV-fUtFWEKCOi1q1zjIGjon1yBdwSfV_L93UI","5590","2995","9","NULL","7","892","1480","6252","2017-08","20457","5567","2018-06","29121","5501","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","12","NULL","12","NULL","14","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","153","9","3788","1","1654615945","1669342031","5590","5","35158","4780","33619","10251","105","304710","20993","10821607","22","4189","409","1480","146407477","238","6314","1","7","1","589","2995","2","1","30315"
"29143","5501","#9CGLQUGY","肉联厂","149","143","2","#PPRY0Y00","Savage 8.9","785cxXU5e-ulxWoqSLeUEynsbsNm0dFTSlTNGinvFYs","5555","5266","9","NULL","8","3157","399","6400","2016-12","17213","5215","2018-06","29143","5501","2018-01","2243","5238","2018-06","15043","4869","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","14","16","16","16","9","16","16","14","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","25","11","153","9","1936","1","890530356","918814725","5555","5","13760","2720","18515","5384","59","132031","11959","5652197","22","2599","518","399","302887951","230","4151","1","8","1","4002","5266","1","1","29670"
"41186","5410","#G0R89QRP","ayo168","288","368","1","#2GRY0VRP","REQ N' GTFO","bfmKg8cM4PUytKqR0ASyqLITyOqjjfaCPbrDEdiP7U8","5410","2754","9","NULL","7","918","1550","834","2016-12","28448","5056","2018-06","41186","5410","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","3","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","12","NULL","11","2","12","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","NULL","30","30","NULL","14","11","153","9","4225","1","2000000000","2000000000","5410","5","108662","8888","54824","16325","5013","3175459","33804","13771435","22","7577","1853","1550","427540141","764","40030","1","7","1","801","2754","2","1","7210"
"41651","5407","#PLCG0C2UP","我家小仙女","149","208","0","#2CCUQ9YV","胜利者","FoeBKgf5I2Ow7tbVKhmqr9BDn1y0i-jXkQ8rMZaUr7g","5407","3970","9","NULL","8","1307","483","407","2018-06","41651","5407","2018-06","41651","5407","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","12","12","11","11","2","15","2","14","10","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","18","25","NULL","12","11","150","9","1821","1","942347317","1019157815","5407","5","19488","2351","10707","3118","198","166415","7475","4149514","22","2070","219","483","102809185","33","1825","1","8","1","1183","3970","2","1","18170"
"42533","5402","#2VUPP8Q0U","Rizwan Virgo","143","218","0","#PC00CQ99","Cluster Pegasus","3BhL3JPqzF-UGhbY8ddbbBPbcrsPWSZ7jevXoRLzPqw","5493","2484","9","NULL","6","367","1039","1499","2018-06","42533","5402","2018-06","42533","5402","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","10","12","8","2","NULL","1","NULL","12","8","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","8","11","153","9","3377","1","860811239","911978836","5493","5","17388","2253","18004","4684","383","150601","11717","5742939","22","3071","494","1039","161480157","112","3350","1","6","1","288","2484","1","1","5575"
"42541","5402","#2LU0R82PQ","Furkan","164","288","0","#UJV80JCC","maybe later","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5549","2830","9","NULL","6","463","687","841","2018-06","42541","5402","2018-06","42541","5402","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","11","11","11","10","NULL","10","NULL","12","5","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","5","11","153","9","3642","1","1095891059","1136986958","5549","5","40628","4298","20234","6193","671","283236","13329","5678237","22","3461","436","687","111130025","68","4300","1","6","1","293","2830","2","1","3575"
"43562","5395","#JV2J9VQL","༺༼Ｖｏｌｄｅｍｏｒｔ༽﻿༻","151","392","2","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5757","2266","9","NULL","6","180","426","2189","2017-09","14030","5694","2018-06","43562","5395","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","8","9","9","5","NULL","1","NULL","10","1","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","3","11","153","9","2890","1","1152703661","1197495074","5757","5","41176","3106","20272","5671","341","205752","14356","7690864","22","3577","431","426","141837551","193","5925","1","6","1","210","2266","2","1","1900"
"46574","5377","#2UY8RCJPP","maxx suresh","157","199","1","#2YRRYPG0","Ciamis Kingdom","CtEckcJiTeT13Ktdocgw8JAGsF1fvj_dw9Zkc2cWag0","5542","2715","9","NULL","7","1405","690","1636","2018-06","46574","5377","2018-06","46574","5377","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","12","NULL","12","NULL","12","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","19","30","NULL","10","11","153","9","1047","1","1118838897","1180229458","5542","5","50036","4374","19128","6204","395","232059","14371","6490157","22","3597","389","690","130431389","109","3322","1","7","1","1670","2715","2","1","15960"
